ZIPCODE,TotalPop,Men,Women,Hisp_tot,White_tot,Black_tot,Nat_tot,Asian_tot,Pov_tot,Unemployment_tot,Men_pct,Hispanic_pct,White_pct,Black_pct,Native_pct,Asian_pct,Poverty_pct,Unemployment_pct
10153,287,143,144,4,266,0,0,17,13,0,49.825783972125436,1.3937282229965158,92.6829268292683,0,0,5.923344947735192,4.529616724738676,0
10154,1683,744,939,229,1249,22,7,126,143,61,44.20677361853833,13.606654783125371,74.21271538918597,1.3071895424836601,0.41592394533571003,7.4866310160427805,8.49673202614379,3.6244800950683302
10155,1166,451,715,73,892,26,0,174,127,22,38.67924528301887,6.260720411663807,76.5008576329331,2.2298456260720414,0,14.922813036020582,10.891938250428817,1.8867924528301887
10156,7640,3515,4125,558,4974,84,0,1627,703,512,46.00785340314136,7.303664921465969,65.10471204188481,1.0994764397905759,0,21.295811518324605,9.201570680628272,6.701570680628273
10158,6781,3098,3683,346,4550,149,0,1438,515,278,45.68647692080814,5.1024922577790885,67.09924789854004,2.197316030084058,0,21.206311753428697,7.594750036867719,4.099690311163545
10159,7413,3764,3649,719,5122,504,7,1023,830,615,50.77566437339809,9.69917712127344,69.0948334007824,6.79886685552408,0.09442870632672333,13.800080938891139,11.196546607311479,8.29623634156212
10162,10095,4322,5773,586,8641,0,0,596,707,394,42.81327389796929,5.8048538880633975,85.59683011391778,0,0,5.903912828132738,7.003467062902427,3.9029222387320455
10163,1717,822,895,93,1300,34,0,275,93,29,47.874199184624345,5.41642399534071,75.713453698311,1.9801980198019802,0,16.016307513104252,5.41642399534071,1.68899242865463
10165,3060,1561,1499,107,2222,104,0,560,226,28,51.01307189542483,3.496732026143791,72.61437908496731,3.3986928104575163,0,18.30065359477124,7.38562091503268,0.9150326797385622
10166,1717,822,895,93,1300,34,0,275,93,29,47.874199184624345,5.41642399534071,75.713453698311,1.9801980198019802,0,16.016307513104252,5.41642399534071,1.68899242865463
10167,1717,822,895,93,1300,34,0,275,93,29,47.874199184624345,5.41642399534071,75.713453698311,1.9801980198019802,0,16.016307513104252,5.41642399534071,1.68899242865463
10168,5045,2305,2740,318,4076,101,0,510,530,247,45.68880079286422,6.303270564915758,80.79286422200198,2.001982160555005,0,10.109018830525272,10.505450941526263,4.89593657086224
10169,1732,833,899,93,1311,34,0,275,93,29,48.094688221709006,5.369515011547344,75.69284064665128,1.9630484988452657,0,15.877598152424943,5.369515011547344,1.674364896073903
10170,1717,822,895,93,1300,34,0,275,93,29,47.874199184624345,5.41642399534071,75.713453698311,1.9801980198019802,0,16.016307513104252,5.41642399534071,1.68899242865463
10171,1717,822,895,93,1300,34,0,275,93,29,47.874199184624345,5.41642399534071,75.713453698311,1.9801980198019802,0,16.016307513104252,5.41642399534071,1.68899242865463
10172,1717,822,895,93,1300,34,0,275,93,29,47.874199184624345,5.41642399534071,75.713453698311,1.9801980198019802,0,16.016307513104252,5.41642399534071,1.68899242865463
10173,15,11,4,0,11,0,0,0,0,0,73.33333333333333,0,73.33333333333333,0,0,0,0,0
10174,1717,822,895,93,1300,34,0,275,93,29,47.874199184624345,5.41642399534071,75.713453698311,1.9801980198019802,0,16.016307513104252,5.41642399534071,1.68899242865463
10175,15,11,4,0,11,0,0,0,0,0,73.33333333333333,0,73.33333333333333,0,0,0,0,0
10176,15,11,4,0,11,0,0,0,0,0,73.33333333333333,0,73.33333333333333,0,0,0,0,0
10177,15,11,4,0,11,0,0,0,0,0,73.33333333333333,0,73.33333333333333,0,0,0,0,0
10178,5045,2305,2740,318,4076,101,0,510,530,247,45.68880079286422,6.303270564915758,80.79286422200198,2.001982160555005,0,10.109018830525272,10.505450941526263,4.89593657086224
10179,15,11,4,0,11,0,0,0,0,0,73.33333333333333,0,73.33333333333333,0,0,0,0,0
