full_address,name,zip_code,borough,ave_rating,ave_review_count,num,NAME
"222 Bergen Blvd, Ste 6, Fairview, NJ 07022,",Dunkin',10710,Bronx,3,14,1,DD
"2241 Southern Blvd, Bronx, NY 10458,",Dunkin',10458,Brooklyn,2.5,5,1,DD
"2295 Hempstead Tpke, East Meadow, NY 11554,",Dunkin',11554,Brooklyn,2,13,1,DD
"2302 Knapp St, Ste 2310, Brooklyn, NY 11229,",Dunkin',11229,Brooklyn,2.5,10,1,DD
"2317 Ralph Ave, Brooklyn, NY 11234,",Dunkin',11234,Brooklyn,5,2,1,DD
"234 Thompson St, New York, NY 10012,",Dunkin',10012,Brooklyn,2,26,1,DD
"2344 Flatbush Ave, Brooklyn, NY 11234,",Dunkin',11234,Brooklyn,2.5,27,1,DD
"2350 Jerome Ave, Bronx, NY 10458,",Dunkin',10458,Bronx,1,3,1,DD
"239 Beach 20th St, Far Rockaway, NY 11691,",Dunkin',11691,Brooklyn,1.5,9,1,DD
"24 Newbridge Rd, Hicksville, NY 11801,",Dunkin',11801,Queens,2,45,1,DD
"240 W 40th St, New York, NY 10018,",Dunkin',10018,Brooklyn,2.5,45,1,DD
"2400 Westchester Ave, Bronx, NY 10461,",Dunkin',10461,Brooklyn,4,1,1,DD
"2451 Eastchester Rd, Bronx, NY 10469,",Dunkin',10469,Bronx,3,6,1,DD
"2451 Eastchester Rd, Bronx, NY 10469,",Dunkin',11436,Queens,2,8,1,DD
"2451 Eastchester Rd, Bronx, NY 10469,",Dunkin',11710,Queens,2.5,16,1,DD
"2451 Eastchester Rd, Bronx, NY 10469,",Dunkin',11793,Queens,3,14,1,DD
"24809 Northern Blvd, Little Neck, NY 11362,",Dunkin',11362,Brooklyn,2,45,1,DD
"250 E Houston St, New York, NY 10002,",Dunkin',10002,Brooklyn,2,24,1,DD
